"ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE"
23,"Maine","ME",23005,"Cumberland County",23005000100,"Census Tract 1; Cumberland County; Maine",0.260782171146,2334,389,1439,215,1306,222,289,181,85,92,505,208,35,33,66,50,497,181,91,54,303,115,47,45,13,48,269,530,388,120,9,18,14,25,133,58,0,11,12.4,7.5,5.6,5.7,38.7,14.5,1.8,1.8,2.8,2.1,21.3,6.3,3.9,2.1,13,4.3,3.6,3.4,0.6,2.1,11.5,22.6,27,7.3,0.6,1.2,1.1,1.7,10.2,4.3,0,0.5,0.2657,0.7419,0.9198,0.0852,0.1278,2.1404,0.3659,0.5088,0.01,0.2982,0.4912,0.7644,2.0726,0.3358,0.792,0.792,0.792,0.9649,0.1905,0.5414,0.7769,0,2.4737,0.5514,7.4787,0.4561,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1831,50,39,143,97,19,34,78,80,0,11,0,11,29,42,0,11,3.8,2.9,6.1,4.1,0.8,1.4,3.3,3.3,0,1.2,0,1.2,1.2,1.7,0,1.2
23,"Maine","ME",23005,"Cumberland County",23005000200,"Census Tract 2; Cumberland County; Maine",0.17875943447,2555,392,1369,163,1264,151,484,193,9,12,438,116,209,143,152,129,551,177,266,89,426,166,75,41,32,50,294,566,159,68,28,30,0,15,141,85,11,2,18.9,7,0.6,0.8,34.7,8.2,9.7,6.2,5.9,4.5,21.6,6.5,10.4,3,16.7,6.5,5.9,3.2,1.3,2,11.5,22.1,11.6,4.8,2,2.2,0,1.1,11.2,6.2,0.4,0,0.5013,0.0401,0.8571,0.8346,0.386,2.6191,0.5138,0.5288,0.0802,0.5388,0.7519,0.8897,2.7894,0.7193,0.792,0.792,0.792,0.8421,0.2782,0,0.8145,0.3985,2.3333,0.4962,8.5338,0.6491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,178,78,152,138,57,49,25,29,0,11,0,11,60,52,0,11,14.1,6.2,5.9,5.3,2.2,2,1,1.1,0,1.1,0,1.1,2.3,2.1,0,1.1
23,"Maine","ME",23005,"Cumberland County",23005000300,"Census Tract 3; Cumberland County; Maine",0.649311980522,3096,410,2292,224,2040,258,971,270,65,79,1085,272,118,81,346,168,251,102,174,124,530,190,40,38,26,56,628,554,1685,265,12,19,47,71,699,174,170,7,32.5,7.9,3.1,3.8,53.2,11.5,4.7,3.1,11.2,5.2,8.1,3.3,5.6,3.6,17.1,5.6,2,1.8,0.9,1.9,20.3,17.7,73.5,9.1,0.5,0.8,2.3,3.1,34.3,7.4,5.5,0.8,0.9073,0.411,0.9975,0.381,0.8396,3.5364,0.8496,0.01,0.0175,0.5739,0.2231,0.8371,1.6616,0.1654,0.9449,0.9449,0.9449,1,0.1704,0.7945,0.9825,0.8872,3.8346,0.99,9.9775,0.8747,1,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,2,5,23690,394,152,230,198,237,122,26,35,0,11,0,11,135,101,0,11,19.3,6.5,7.4,6,7.7,3.6,0.8,1.1,0,0.9,0,0.9,4.4,3.4,0,0.9
23,"Maine","ME",23005,"Cumberland County",23005000500,"Census Tract 5; Cumberland County; Maine",0.324260428762,2160,391,1378,176,1160,219,486,180,11,17,413,183,196,100,237,169,339,106,208,107,301,191,50,60,168,118,647,492,575,172,0,11,82,74,155,80,91,12,22.9,7.4,0.8,1.3,35.6,14.3,10.8,5.5,11.2,7.6,15.7,4.6,9.6,4.3,14.2,7.6,4.3,5.1,8.2,5.6,30,22.1,41.7,11.3,0,2,7,5.3,13.4,7.4,4.2,0.9,0.6541,0.0551,0.8697,0.8872,0.8396,3.3057,0.7845,0.1629,0.0576,0.381,0.5915,0.9975,2.1905,0.4185,0.9799,0.9799,0.9799,0.9875,0,0.985,0.8897,0.8371,3.6993,0.9674,10.1754,0.8997,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,4,3381,160,76,430,215,52,47,94,101,0,11,0,11,12,69,59,67,13.8,6.4,19.9,8.4,2.4,2.1,4.4,4.7,0,1.3,0,1.3,0.6,3.2,2.7,3
23,"Maine","ME",23005,"Cumberland County",23005000600,"Census Tract 6; Cumberland County; Maine",0.252522677162,3326,402,1960,290,1867,312,1377,272,64,56,583,133,252,131,284,192,484,192,274,71,1032,234,114,114,231,136,1159,572,903,167,0,11,10,20,646,214,283,25,42.9,6.4,3.4,2.9,31.2,4.9,9.4,4.8,8.6,5.9,14.6,5.1,8.2,2,31.1,6.6,6.1,6,7,4,34.8,16.7,46.1,5.1,0,1.4,0.5,1,34.6,9.9,8.5,1.3,0.9749,0.4762,0.7945,0.817,0.6742,3.7368,0.8997,0.1228,0.0401,0.9774,0.7794,0.9875,2.9072,0.7845,0.9875,0.9875,0.9875,0.9925,0,0.3784,0.985,0.9373,3.2932,0.8647,10.9247,0.9574,1,0,0,0,0,1,0,0,1,0,1,2,1,1,1,0,0,1,1,3,7,5358,315,202,694,265,89,59,100,73,10,19,14,23,252,177,0,11,16.9,9.6,20.9,7.2,2.7,1.8,3,2.1,0.3,0.6,0.4,0.7,7.6,5.4,0,0.8
23,"Maine","ME",23005,"Cumberland County",23005001000,"Census Tract 10; Cumberland County; Maine",0.184949035632,3174,376,1865,152,1829,153,837,271,99,79,632,152,181,130,235,125,137,82,153,114,450,151,0,15,139,92,690,498,782,164,49,61,24,26,398,108,56,11,26.4,8,3.8,3,34.6,7.8,7.2,4.9,7.6,4,4.3,2.6,4.8,3.5,14.5,4.7,0,0.8,4.5,2.9,21.7,15.5,41.9,8.1,2.6,3.3,1.4,1.4,21.8,5.8,1.8,0.3,0.7719,0.5338,0.8496,0.6391,0.584,3.3784,0.8045,0.005,0.0125,0.4135,0,0.9825,1.4135,0.0902,0.9524,0.9524,0.9524,0.99,0.3083,0.619,0.9624,0.6692,3.5489,0.9373,9.2932,0.782,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,4,1557,135,62,231,147,249,207,51,54,4,6,0,11,155,96,0,11,7.4,3.4,7.3,4.5,7.8,6.3,1.6,1.7,0.1,0.2,0,0.9,4.9,3,0,0.9
23,"Maine","ME",23005,"Cumberland County",23005001100,"Census Tract 11; Cumberland County; Maine",0.133839941688,2552,347,1844,263,1634,279,748,272,41,38,528,234,34,30,121,78,483,140,149,35,597,247,118,14,94,122,351,469,637,165,0,11,11,21,706,263,39,3,29.3,9.9,2.6,2.3,32.3,13.2,1.6,1.4,4.7,3,18.9,5.1,5.8,1.4,23.4,8.2,7.2,1.5,3.7,4.8,13.8,18.3,34.6,7.5,0,1.5,0.7,1.1,43.2,10,1.5,0.2,0.8521,0.3308,0.8246,0.0752,0.2607,2.3434,0.4286,0.3584,0.0201,0.8722,0.8546,0.9749,3.0802,0.8571,0.8697,0.8697,0.8697,0.9825,0,0.4311,0.995,0.6541,3.0627,0.787,9.356,0.797,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,3,2477,244,202,119,82,35,44,112,100,7,12,0,11,78,80,0,11,14.9,11,4.7,3.2,1.4,1.7,4.4,3.7,0.3,0.5,0,1.1,3.1,3.1,0,1.1
23,"Maine","ME",23005,"Cumberland County",23005001200,"Census Tract 12; Cumberland County; Maine",0.065400659474,1481,267,728,62,661,73,327,109,42,38,271,74,37,23,112,47,138,45,299,200,111,66,11,21,29,49,470,303,108,35,0,11,12,17,82,42,9,2,22.1,6.2,4.1,3.7,41,10.2,3.6,2.3,7.6,3,9.3,3.4,20.2,10.6,7.5,4.5,1.7,3.2,2,3.4,31.7,19.6,14.8,4.6,0,3.7,1.8,2.3,12.4,6.1,0.6,0.1,0.6165,0.5689,0.9499,0.2682,0.584,2.9875,0.6692,0.015,0.6792,0.0451,0.1855,0.9323,1.8571,0.2431,0.9825,0.9825,0.9825,0.8972,0,0.7043,0.8596,0.4987,2.9598,0.7619,8.7869,0.7018,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,1063,48,25,319,264,0,11,83,93,0,11,7,12,61,49,0,11,7.3,3.8,21.5,14.7,0,1.8,5.6,6.2,0,1.8,0.5,0.8,4.1,3.3,0,1.8
23,"Maine","ME",23005,"Cumberland County",23005001300,"Census Tract 13; Cumberland County; Maine",0.491151859956,3616,467,1915,141,1769,126,569,148,92,56,539,143,99,52,267,117,471,137,597,317,452,147,20,25,94,90,664,640,651,148,9,13,10,21,390,104,140,20,16.1,3.6,4.3,2.6,30.5,7.8,3.7,1.9,7.5,3.5,13,4.1,16.5,7.1,12.6,4.3,1.1,1.4,2.8,2.7,18.4,17.5,34,7.3,0.5,0.7,0.6,1.1,22,5.5,3.9,0.2,0.391,0.599,0.7794,0.2832,0.5689,2.6215,0.5188,0.0652,0.381,0.2707,0.1203,0.9624,1.7996,0.2206,0.9248,0.9248,0.9248,0.9799,0.1704,0.4035,0.9649,0.817,3.3357,0.8797,8.6816,0.6817,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,4,12018,100,72,195,131,129,96,56,51,4,7,0,11,280,140,0,11,5.7,4,5.4,3.6,3.6,2.5,1.5,1.4,0.1,0.2,0,0.8,7.7,3.9,0,0.8
23,"Maine","ME",23005,"Cumberland County",23005001500,"Census Tract 15; Cumberland County; Maine",0.537991437984,3625,498,1857,237,1755,247,671,211,116,69,744,198,70,33,172,106,367,99,560,267,377,127,55,46,23,52,386,709,235,90,0,11,20,24,128,58,30,7,18.5,5.2,4.7,2.8,42.4,9.6,2.8,1.3,4.7,2.9,10.1,3,15.4,5.9,10.4,2.8,3.1,2.6,0.6,1.5,10.6,19.5,12.6,4.6,0,1.5,1.1,1.3,7.3,3.5,0.8,0.2,0.4912,0.6516,0.9699,0.1779,0.2607,2.5513,0.4962,0.0301,0.2932,0.1353,0.3985,0.7644,1.6215,0.1554,0.7669,0.7669,0.7669,0.8571,0,0.5414,0.6491,0.5388,2.5864,0.604,7.5261,0.4687,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7380,107,82,87,64,137,79,106,80,0,11,0,11,56,58,0,11,6.1,4.6,2.4,1.8,3.8,2.3,2.9,2.2,0,0.8,0,0.8,1.5,1.6,0,0.8
